entry1,entry2
DB01082,DB00353
DB04846,DB00193
DB00968,DB06595
DB08882,DB06697
DB00652,DB01359
DB11093,DB01095
DB01289,DB00796
DB09054,DB00091
DB00968,DB00679
DB00967,DB01407
DB00722,DB04946
DB00654,DB00289
DB00526,DB00544
DB09000,DB00993
DB09030,DB01878
DB00712,DB04842
DB00554,DB01193
DB00805,DB00820
DB00709,DB01098
DB06738,DB09216
DB00335,DB09123
DB00741,DB00967
DB00544,DB13158
DB00436,DB00195
DB00394,DB01608
DB00703,DB04946
DB00437,DB00222
DB09074,DB00765
DB01613,DB00377
DB00437,DB00572
DB00390,DB01466
DB13158,DB00321
DB00612,DB08938
DB06288,DB00227
DB00550,DB00624
DB00657,DB09048
DB09146,DB09245
DB00649,DB06589
DB00291,DB09095
DB04844,DB13139
DB00999,DB00418
DB01013,DB09338
DB01043,DB00353
DB00476,DB06718
DB00531,DB01253
DB00268,DB09091
DB01007,DB01092
DB00862,DB08880
DB08897,DB04861
DB11362,DB01035
DB11156,DB00968
DB00871,DB00757
DB09352,DB01235
DB08807,DB01627
DB00377,DB00688
DB00780,DB01088
DB01422,DB06216
DB00958,DB09076
DB06288,DB05541
DB12278,DB01151
DB11699,DB01229
DB00388,DB01156
DB08918,DB08871
DB06595,DB05266
DB09085,DB08938
DB04868,DB00955
DB00850,DB00712
DB00734,DB09288
DB01199,DB01041
DB00720,DB01628
DB00291,DB06696
DB01193,DB06154
DB00817,DB01037
DB01057,DB01081
DB00751,DB09449
DB00612,DB00761
DB09220,DB08824
DB00215,DB00959
DB08871,DB13879
DB00726,DB00326
DB00176,DB01078
DB00654,DB00889
DB08824,DB00843
DB01088,DB09449
DB13158,DB01205
DB01045,DB00623
DB01608,DB11362
DB01466,DB00498
DB01037,DB09338
DB00203,DB08804
DB01095,DB06764
DB08895,DB01406
DB00794,DB00334
DB01082,DB00887
DB00575,DB00567
DB01501,DB13158
DB01578,DB00967
DB00489,DB00254
DB00261,DB00958
DB00796,DB06209
DB09138,DB08918
DB04573,DB00864
DB00209,DB00872
DB01199,DB08804
DB00312,DB00871
DB00812,DB00993
DB00211,DB00843
DB00728,DB01623
DB00338,DB00413
DB00553,DB01437
DB00728,DB01203
DB00515,DB00685
DB12278,DB00458
DB00544,DB00703
DB00872,DB00687
DB00436,DB06441
DB01239,DB13139
DB00498,DB00421
DB09048,DB00449
DB00850,DB01380
DB09085,DB01267
DB00388,DB00452
DB01037,DB00569
DB00812,DB03754
DB01623,DB00798
DB09039,DB01013
DB08933,DB00959
DB01135,DB09082
DB01203,DB01196
DB00853,DB00612
DB09245,DB00853
DB08971,DB01171
DB00864,DB00479
DB00687,DB08871
DB00932,DB00553
DB08984,DB00932
DB09288,DB06016
DB01186,DB00958
DB00258,DB09053
DB06204,DB00950
DB08881,DB04946
DB00261,DB01016
DB06237,DB01367
DB00983,DB00476
DB09091,DB00925
DB01016,DB00946
DB06237,DB01095
DB08899,DB08807
DB05265,DB01044
DB09123,DB05265
DB00955,DB00428
DB11362,DB00672
DB00508,DB01081
DB00792,DB01103
DB08871,DB00268
DB01551,DB00327
DB01238,DB01082
DB06781,DB00384
DB01045,DB01116
DB06228,DB01203
DB00255,DB01102
DB00792,DB11362
DB01613,DB06781
DB00697,DB00890
DB06204,DB00623
DB04573,DB06441
DB11315,DB06605
DB00477,DB08880
DB00238,DB09414
DB01384,DB06605
DB00553,DB09414
DB00394,DB00589
DB05541,DB09082
DB11093,DB08881
DB06702,DB00585
DB11156,DB00487
DB00542,DB01337
DB09055,DB04573
DB00811,DB00255
DB00687,DB00448
DB09063,DB01384
DB00258,DB00867
DB01013,DB06817
DB06228,DB08868
DB06148,DB00310
DB09245,DB05265
DB01420,DB01327
DB01466,DB01628
DB00232,DB00620
DB04865,DB05541
DB01247,DB08895
DB01114,DB05266
DB09352,DB01185
DB00209,DB00401
DB01155,DB12364
DB09063,DB09288
DB06209,DB00384
DB06710,DB00694
DB01422,DB01295
DB01072,DB00843
DB09286,DB00936
DB06207,DB08868
DB00710,DB00199
DB00280,DB03619
DB00959,DB00418
DB00953,DB00589
DB01613,DB00572
DB09138,DB01071
DB06701,DB09041
DB06267,DB09245
DB01403,DB00468
DB08804,DB00709
DB09477,DB00182
DB01202,DB04951
DB00736,DB00866
DB06441,DB01365
DB00887,DB00809
DB11156,DB00708
DB09082,DB00959
DB00649,DB12364
DB00594,DB00524
DB01059,DB04573
DB00450,DB00780
DB00843,DB00437
DB11362,DB03754
DB00401,DB09290
DB00876,DB01088
DB01205,DB00467
DB00222,DB09275
DB00953,DB00091
DB00091,DB00655
DB01623,DB00655
DB13167,DB01250
DB00652,DB13879
DB00295,DB01116
DB04861,DB05521
DB01626,DB01253
DB00334,DB00761
DB00817,DB00872
DB00871,DB01072
DB00554,DB00585
DB08868,DB00925
DB01327,DB01229
DB00715,DB01201
DB00252,DB00266
DB00452,DB00734
DB01608,DB00314
DB00396,DB09085
DB09091,DB00388
DB00896,DB00394
