entry1,entry2
DB01600,DB00460
DB09000,DB00460
DB09536,DB00460
DB00553,DB00460
DB01878,DB00460
DB01071,DB09244
DB09076,DB00657
DB00810,DB06148
DB08897,DB00245
DB00391,DB00809
DB03754,DB04574
DB09104,DB01384
DB09104,DB13158
DB13595,DB00741
DB09275,DB08971
DB00794,DB01020
DB01201,DB00567
DB00418,DB00924
DB00794,DB01072
DB09280,DB11915
DB01136,DB00983
DB06207,DB01291
DB01136,DB00610
DB06207,DB00968
DB01162,DB00696
DB06605,DB13167
DB00946,DB01067
DB00946,DB00758
DB00758,DB01254
DB11268,DB06441
DB00903,DB00695
DB00958,DB00955
DB00958,DB00428
DB00958,DB00798
DB00958,DB00452
DB00230,DB01558
DB00230,DB00950
DB00230,DB01501
DB00230,DB01219
DB00230,DB01437
DB00222,DB01393
DB00280,DB01185
DB00222,DB08807
DB00280,DB00491
DB00412,DB01247
DB00862,DB00654
DB00820,DB00925
DB00862,DB00401
DB06267,DB01089
DB06237,DB00722
DB00220,DB01181
DB00238,DB00220
DB05521,DB06209
DB01264,DB01181
DB08933,DB00758
DB00498,DB00550
DB06605,DB00655
DB00946,DB00977
DB00569,DB04575
DB00266,DB01357
DB00257,DB00396
DB09041,DB00396
DB01007,DB00396
DB01422,DB00396
DB01167,DB00396
DB08807,DB01291
DB00335,DB04846
DB01359,DB00871
DB04846,DB00221
DB04861,DB01407
DB00531,DB00444
DB00531,DB00291
DB00531,DB08871
DB00531,DB09053
DB00531,DB06704
DB00737,DB00450
DB06288,DB06204
DB01403,DB00898
DB00898,DB00434
DB06738,DB09072
DB00214,DB01336
DB00903,DB01135
DB00695,DB01226
DB01122,DB01226
DB00358,DB01226
DB00751,DB06701
DB00585,DB06701
DB08938,DB06701
DB09104,DB00422
DB00338,DB01576
DB00953,DB00353
DB01253,DB04861
DB01186,DB01200
DB01253,DB00335
DB00248,DB00489
DB06708,DB05039
DB00420,DB00363
DB06697,DB09082
DB09039,DB05039
DB01035,DB06589
DB01336,DB00468
DB01199,DB01627
DB00428,DB00314
DB01226,DB00314
DB00657,DB06696
DB00663,DB01226
DB09095,DB01226
DB00655,DB00732
DB00873,DB01226
