entry1,entry2
CHEMBL210928,O14757
CHEMBL210928,O14965
CHEMBL210928,O15075
CHEMBL210928,O43741
CHEMBL210928,O75582
CHEMBL210928,P00519
CHEMBL210928,P06239
CHEMBL210928,P06493
CHEMBL210928,P08069
CHEMBL210928,P08581
CHEMBL210928,P08922
CHEMBL210928,P11362
CHEMBL210928,P17948
CHEMBL210928,P23443
CHEMBL210928,P29597
CHEMBL210928,P43405
CHEMBL210928,P48730
CHEMBL210928,P51617
CHEMBL210928,P51955
CHEMBL210928,P53778
CHEMBL210928,P54646
CHEMBL210928,Q05655
CHEMBL210928,Q06187
CHEMBL210928,Q13131
CHEMBL210928,Q14680
CHEMBL210928,Q16513
CHEMBL210928,Q16620
CHEMBL210928,Q16644
CHEMBL210928,Q96KB5
CHEMBL210928,Q9BZL6
CHEMBL210928,Q9H2G2
CHEMBL210928,Q9H4B4
CHEMBL210928,Q9HAZ1
CHEMBL210928,Q9NWZ3
CHEMBL210928,Q9P1W9
CHEMBL210963,O14757
CHEMBL210963,O14965
CHEMBL210963,O15075
CHEMBL210963,O43741
CHEMBL210963,O75582
CHEMBL210963,P00519
CHEMBL210963,P06239
CHEMBL210963,P06493
CHEMBL210963,P08069
CHEMBL210963,P08581
CHEMBL210963,P08922
CHEMBL210963,P11362
CHEMBL210963,P17948
CHEMBL210963,P23443
CHEMBL210963,P29597
CHEMBL210963,P43405
CHEMBL210963,P48730
CHEMBL210963,P51617
CHEMBL210963,P51955
CHEMBL210963,P53778
CHEMBL210963,P54646
CHEMBL210963,Q05655
CHEMBL210963,Q06187
CHEMBL210963,Q13131
CHEMBL210963,Q14680
CHEMBL210963,Q16513
CHEMBL210963,Q16620
CHEMBL210963,Q16644
CHEMBL210963,Q96KB5
CHEMBL210963,Q9BZL6
CHEMBL210963,Q9H2G2
CHEMBL210963,Q9H4B4
CHEMBL210963,Q9HAZ1
CHEMBL210963,Q9NWZ3
CHEMBL210963,Q9P1W9
CHEMBL377383,O14757
CHEMBL377383,O14965
CHEMBL377383,O15075
CHEMBL377383,O43741
CHEMBL377383,O75582
CHEMBL377383,P00519
CHEMBL377383,P06239
CHEMBL377383,P06493
CHEMBL377383,P08069
CHEMBL377383,P08581
CHEMBL377383,P08922
CHEMBL377383,P11362
CHEMBL377383,P17948
CHEMBL377383,P23443
CHEMBL377383,P29597
CHEMBL377383,P43405
CHEMBL377383,P48730
CHEMBL377383,P51617
CHEMBL377383,P51955
CHEMBL377383,P53778
CHEMBL377383,P54646
CHEMBL377383,Q05655
CHEMBL377383,Q06187
CHEMBL377383,Q13131
CHEMBL377383,Q14680
CHEMBL377383,Q16513
CHEMBL377383,Q16620
CHEMBL377383,Q16644
CHEMBL377383,Q96KB5
CHEMBL377383,Q9BZL6
CHEMBL377383,Q9H2G2
CHEMBL377383,Q9H4B4
CHEMBL377383,Q9HAZ1
CHEMBL377383,Q9NWZ3
CHEMBL377383,Q9P1W9
CHEMBL378627,O14757
CHEMBL378627,O14965
CHEMBL378627,O15075
CHEMBL378627,O43741
CHEMBL378627,O75582
CHEMBL378627,P00519
CHEMBL378627,P06239
CHEMBL378627,P06493
CHEMBL378627,P08069
CHEMBL378627,P08581
CHEMBL378627,P08922
CHEMBL378627,P11362
CHEMBL378627,P17948
CHEMBL378627,P23443
CHEMBL378627,P29597
CHEMBL378627,P43405
CHEMBL378627,P48730
CHEMBL378627,P51617
CHEMBL378627,P51955
CHEMBL378627,P53778
